Bin_num,avg_dNdLogDP,sd,avg_bin_mid,sdL,sdH
1,260.02120500796997,178.69051319722823,27.948468300000002,81.33069181074174,438.71171820519817
2,229.18749684595338,145.27600716141896,29.937956624999998,83.91148968453442,374.4635040073723
3,265.69092118545416,99.6615445065356,32.076822,166.02937667891854,365.3524656919898
4,372.1377052797,101.10716371600627,34.377521475,271.03054156369376,473.24486899570627
5,432.9772146486483,82.41503693470123,36.853747725000005,350.5621777139471,515.3922515833495
6,492.94042839252245,142.6296694352573,39.520584225,350.31075895726514,635.5700978277798
7,613.73549073426,172.59179087776457,42.394679925,441.14369985649546,786.3272816120245
8,679.2775942037583,150.77350217960802,45.494454225,528.5040920241503,830.0510963833664
9,750.6973367229126,167.90071065125005,48.8403327,582.7966260716626,918.5980473741627
10,834.8245978397267,200.60118535872007,52.45502175,634.2234124810067,1035.4257831984469
11,793.0326933081117,153.43479798094648,56.3638257,639.5978953271651,946.4674912890582
12,719.6564196142084,97.58011215826299,60.59501925,622.0763074559454,817.2365317724714
13,671.033252192625,124.63611778574897,65.180281425,546.397134406876,795.669369978374
14,664.1843146133534,147.0340136976605,70.155201,517.1503009156929,811.2183283110139
15,616.6727595921475,101.85753637251159,75.5598705,514.8152232196359,718.5302959646591
16,623.6106096974584,150.77423378138525,81.43958272500001,472.8363759160731,774.3848434788435
17,665.4982802771866,143.60277653404054,87.845643825,521.895503743146,809.1010568112272
18,738.6404580984,142.88419686649735,94.83633045,595.7562612319027,881.5246549648973
19,815.4221667218001,178.39476968775256,102.478007475,637.0273970340475,993.8169364095527
20,863.1913407015601,123.21907955998803,110.846436975,739.9722611415721,986.4104202615481
21,823.9406144954401,170.28742219551447,120.02830349999999,653.6531922999256,994.2280366909545
22,876.4651300009233,168.60473705325026,130.12298835000001,707.8603929476731,1045.0698670541735
23,889.3078802178491,189.17122564352,141.244622025,700.1366545743291,1078.4791058613691
24,830.2216887289816,141.96353140488017,153.524444775,688.2581573241014,972.1852201338618
25,669.6178446148466,175.64619244642032,167.113503375,493.9716521684263,845.2640370612669
26,621.7213178032433,97.57522263755367,182.185705725,524.1460951656896,719.296540440797
27,654.1768338044201,133.56798655490334,198.941247825,520.6088472495168,787.7448203593234
28,505.8036272531933,174.85152673930284,217.62638355,330.9521005138905,680.6551539924961
29,343.84895375968335,112.8059338626414,238.47661575,231.04301989704197,456.65488762232474
30,218.4817604724417,83.68838405182588,261.808801575,134.7933764206158,302.1701445242676
